species_id,version_id,language_id,flavor_text
17,26,9,"Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
18,26,9,"This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon."
19,26,9,"Rattata is cautious in the extreme. Even while it is asleep,
it constantly listens by moving its ears around. It is not
picky about where it lives—it will make its nest anywhere."
20,26,9,"Raticate’s sturdy fangs grow steadily. To keep them
ground down, it gnaws on rocks and logs. It may
even chew on the walls of houses."
21,26,9,"Spearow has a very loud cry that can be heard over
half a mile away. If its high, keening cry is heard echoing all
around, it is a sign that they are warning each other of danger."
22,26,9,"Fearow is recognized by its long neck and elongated beak.
They are conveniently shaped for catching prey in soil or
water. It deftly moves its long and skinny beak to pluck prey."
23,26,9,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head."
24,26,9,"This Pokémon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible."
25,26,9,"This Pokémon has electricity-storing pouches on its cheeks.
These appear to become electrically charged during the night
while Pikachu sleeps. It occasionally discharges electricity
when it is dozy after waking up."
26,26,9,"This Pokémon exudes a weak electrical charge from all over
its body that makes it take on a slight glow in darkness.
Raichu plants its tail in the ground to discharge electricity."
27,26,9,"Sandshrew has a very dry hide that is extremely tough.
The Pokémon can roll into a ball that repels any attack.
At night, it burrows into the desert sand to sleep."
28,26,9,"Sandslash can roll up its body as if it were a ball covered
with large spikes. In battle, this Pokémon will try to make
the foe flinch by jabbing it with its spines. It then leaps at
the stunned foe to tear wildly with its sharp claws."
29,26,9,"Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn."
30,26,9,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others."
31,26,9,"Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young."
32,26,9,"Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice."
33,26,9,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
34,26,9,"Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it."
35,26,9,"On every night of a full moon, groups of this Pokémon
come out to play. When dawn arrives, the tired Clefairy
return to their quiet mountain retreats and go to sleep
nestled up against each other."
36,26,9,"Clefable moves by skipping lightly as if it were flying using
its wings. Its bouncy step lets it even walk on water.
It is known to take strolls on lakes on quiet, moonlit nights."
37,26,9,"Inside Vulpix’s body burns a flame that never goes out.
During the daytime, when the temperatures rise, this
Pokémon releases flames from its mouth to prevent its
body from growing too hot."
38,26,9,"Legend has it that Ninetales came into being when
nine wizards possessing sacred powers merged into one.
This Pokémon is highly intelligent—it can understand
human speech."
39,26,9,"When this Pokémon sings, it never pauses to breathe.
If it is in a battle against an opponent that does not easily
fall asleep, Jigglypuff cannot breathe, endangering its life."
40,26,9,"Wigglytuff’s body is very flexible. By inhaling deeply,
this Pokémon can inflate itself seemingly without end.
Once inflated, Wigglytuff bounces along lightly like a balloon."
41,26,9,"Zubat avoids sunlight because exposure causes it to become
unhealthy. During the daytime, it stays in caves or under
the eaves of old houses, sleeping while hanging upside down."
42,26,9,"Golbat bites down on prey with its four fangs and drinks
the victim’s blood. It becomes active on inky dark
moonless nights, flying around to attack people and Pokémon."
43,26,9,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees."
44,26,9,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
45,26,9,"Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them."
46,26,9,"Paras has parasitic mushrooms growing on its back called
tochukaso. They grow large by drawing nutrients from this
Bug Pokémon host. They are highly valued as a medicine
for extending life."
47,26,9,"Parasect is known to infest large trees en masse and drain
nutrients from the lower trunk and roots. When an infested
tree dies, they move onto another tree all at once."
48,26,9,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
49,26,9,"Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
50,26,9,"Diglett are raised in most farms. The reason is simple—
wherever this Pokémon burrows, the soil is left perfectly tilled
for planting crops. This soil is made ideal for growing
delicious vegetables."
51,26,9,"Dugtrio are actually triplets that emerged from one body.
As a result, each triplet thinks exactly like the other two
triplets. They work cooperatively to burrow endlessly."
52,26,9,"Meowth withdraws its sharp claws into its paws to slinkily sneak
about without making any incriminating footsteps. For some
reason, this Pokémon loves shiny coins that glitter with light."
53,26,9,"Persian has six bold whiskers that give it a look of toughness.
The whiskers sense air movements to determine what is in the
Pokémon’s surrounding vicinity. It becomes docile if grabbed
by the whiskers."
54,26,9,"If it uses its mysterious power, Psyduck can’t remember
having done so. It apparently can’t form a memory of such
an event because it goes into an altered state that is much
like deep sleep."
55,26,9,"Golduck is the fastest swimmer among all Pokémon. It swims
effortlessly, even in a rough, stormy sea. It sometimes rescues
people from wrecked ships floundering in high seas."
56,26,9,"When Mankey starts shaking and its nasal breathing turns
rough, it’s a sure sign that it is becoming angry. However,
because it goes into a towering rage almost instantly,
it is impossible for anyone to flee its wrath."
57,26,9,"When Primeape becomes furious, its blood circulation
is boosted. In turn, its muscles are made even stronger.
However, it also becomes much less intelligent at the
same time."
58,26,9,"Growlithe has a superb sense of smell. Once it smells anything,
this Pokémon won’t forget the scent, no matter what. It uses
its advanced olfactory sense to determine the emotions of
other living things."
59,26,9,"Arcanine is known for its high speed. It is said to be capable
of running over 6,200 miles in a single day and night. The
fire that blazes wildly within this Pokémon’s body is its source
of power."
60,26,9,"Poliwag has a very thin skin. It is possible to see the
Pokémon’s spiral innards right through the skin. Despite its
thinness, however, the skin is also very flexible. Even sharp
fangs bounce right off it."
61,26,9,"The surface of Poliwhirl’s body is always wet and slick with
a slimy fluid. Because of this slippery covering, it can easily
slip and slide out of the clutches of any enemy in battle."
62,26,9,"Poliwrath’s highly developed, brawny muscles never grow
fatigued, however much it exercises. It is so tirelessly strong,
this Pokémon can swim back and forth across the ocean
without effort."
63,26,9,"Abra needs to sleep for eighteen hours a day. If it doesn’t,
this Pokémon loses its ability to use telekinetic powers. If it is
attacked, Abra escapes using Teleport while it is still sleeping."
64,26,9,"Kadabra holds a silver spoon in its hand. The spoon is used
to amplify the alpha waves in its brain. Without the spoon, the
Pokémon is said to be limited to half the usual amount of its
telekinetic powers."
65,26,9,"Alakazam’s brain continually grows, infinitely multiplying
brain cells. This amazing brain gives this Pokémon an
astoundingly high IQ of 5,000. It has a thorough memory
of everything that has occurred in the world."
66,26,9,"Machop exercises by hefting around a Graveler as if it were
a barbell. There are some Machop that travel the world in a
quest to master all kinds of martial arts."
67,26,9,"Machoke undertakes bodybuilding every day even as
it helps people with tough, physically demanding labor.
On its days off, this Pokémon heads to the fields and
mountains to exercise and train."
68,26,9,"Machamp is known as the Pokémon that has mastered
every kind of martial arts. If it grabs hold of the foe with its
four arms, the battle is all but over. The hapless foe is thrown
far over the horizon."
69,26,9,"Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron."
70,26,9,"Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
71,26,9,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole."
72,26,9,"Tentacool absorbs sunlight and refracts it using water inside
its body to convert it into beam energy. This Pokémon shoots
beams from the small round organ above its eyes."
73,26,9,"Tentacruel has tentacles that can be freely elongated
and shortened at will. It ensnares prey with its tentacles
and weakens the prey by dosing it with a harsh toxin.
It can catch up to 80 prey at the same time."
74,26,9,"When Geodude sleeps deeply, it buries itself halfway into the
ground. It will not awaken even if hikers step on it unwittingly.
In the morning, this Pokémon rolls downhill in search of food."
75,26,9,"Rocks are Graveler’s favorite food. This Pokémon will climb a
mountain from the base to the summit, crunchingly feasting on
rocks all the while. Upon reaching the peak, it rolls back down
to the bottom."
76,26,9,"Golem is known for rolling down from mountains. To prevent
them from rolling into the homes of people downhill, grooves
have been dug into the sides of mountains to serve as
guideways for diverting this Pokémon’s course."
77,26,9,"Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent."
78,26,9,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph."
79,26,9,"Slowpoke uses its tail to catch prey by dipping it in water
at the side of a river. However, this Pokémon often forgets
what it’s doing and often spends entire days just loafing
at water’s edge."
80,26,9,"Slowbro’s tail has a Shellder firmly attached with a bite.
As a result, the tail can’t be used for fishing anymore. This
causes Slowbro to grudgingly swim and catch prey instead."
81,26,9,"Magnemite floats in the air by emitting electromagnetic waves
from the units at its sides. These waves block gravity. This
Pokémon becomes incapable of flight if its internal electrical
supply is depleted."
82,26,9,"Magneton emits a powerful magnetic force that is fatal to
electronics and precision instruments. Because of this, it is
said that some towns warn people to keep this Pokémon
inside a Poké Ball."
83,26,9,"Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks."
84,26,9,"Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains."
85,26,9,"Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest."
86,26,9,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head."
87,26,9,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokémon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago."
88,26,9,"Grimer emerged from the sludge that settled on a polluted
seabed. This Pokémon loves anything filthy. It constantly
leaks a horribly germ-infested fluid from all over its body."
89,26,9,"This Pokémon’s favorite food is anything that is repugnantly
filthy. In dirty towns where people think nothing of throwing
away litter on the streets, Muk are certain to gather."
90,26,9,"At night, this Pokémon uses its broad tongue to burrow a hole
in the seafloor sand and then sleep in it. While it is sleeping,
Shellder closes its shell, but leaves its tongue hanging out."
91,26,9,"Cloyster is capable of swimming in the sea. It does so by
swallowing water, then jetting it out toward the rear. This
Pokémon shoots spikes from its shell using the same system."
92,26,9,"Gastly is largely composed of gaseous matter. When exposed
to a strong wind, the gaseous body quickly dwindles away.
Groups of this Pokémon cluster under the eaves of houses to
escape the ravages of wind."
93,26,9,"Haunter is a dangerous Pokémon. If one beckons you while
floating in darkness, you must never approach it. This Pokémon
will try to lick you with its tongue and steal your life away."
94,26,9,"Sometimes, on a dark night, your shadow thrown by a
streetlight will suddenly and startlingly overtake you.
It is actually a Gengar running past you, pretending to be
your shadow."
95,26,9,"Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother."
96,26,9,"If your nose becomes itchy while you are sleeping, it’s a sure
sign that one of these Pokémon is standing above your pillow
and trying to eat your dream through your nostrils."
97,26,9,"Hypno holds a pendulum in its hand. The arcing movement and
glitter of the pendulum lull the foe into a deep state of
hypnosis. While this Pokémon searches for prey, it polishes
the pendulum."
98,26,9,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory."
99,26,9,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires."
100,26,9,"Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy."
101,26,9,"One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated."
102,26,9,"This Pokémon consists of six eggs that form a closely knit
cluster. The six eggs attract each other and spin around.
When cracks increasingly appear on the eggs, Exeggcute is
close to evolution."
103,26,9,"Exeggutor originally came from the tropics. Its heads
steadily grow larger from exposure to strong sunlight. It is
said that when the heads fall off, they group together to
form Exeggcute."
104,26,9,"Cubone pines for the mother it will never see again. Seeing a
likeness of its mother in the full moon, it cries. The stains on
the skull the Pokémon wears are made by the tears it sheds."
105,26,9,"Marowak is the evolved form of a Cubone that has overcome
its sadness at the loss of its mother and grown tough. This
Pokémon’s tempered and hardened spirit is not easily broken."
106,26,9,"Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue."
107,26,9,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity."
108,26,9,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things."
109,26,9,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon."
110,26,9,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid."
111,26,9,"Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something."
112,26,9,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokémon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat."
113,26,9,"Chansey lays nutritionally excellent eggs on an everyday basis.
The eggs are so delicious, they are easily and eagerly
devoured by even those people who have lost their appetite."
114,26,9,"Tangela’s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day."
115,26,9,"If you come across a young Kangaskhan playing by itself,
you must never disturb it or attempt to catch it. The baby
Pokémon’s parent is sure to be in the area, and it will
become violently enraged at you."
116,26,9,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokémon
swims by cleverly flapping the fin on its back."
117,26,9,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokémon weakens prey with
these currents, then swallows it whole."
118,26,9,"Goldeen loves swimming wild and free in rivers and ponds.
If one of these Pokémon is placed in an aquarium, it will
shatter even the thickest glass with one ram of its horn
and make its escape."
119,26,9,"Seaking is very protective of its eggs. The male and female
will take turns patrolling around their nest and eggs. The
guarding of eggs by these Pokémon goes on for over a month."
120,26,9,"Staryu apparently communicates with the stars in the night sky
by flashing the red core at the center of its body. If parts of its
body are torn, this Pokémon simply regenerates the missing
pieces and limbs."
121,26,9,"Starmie swims through water by spinning its star-shaped
body as if it were a propeller on a ship. The core at the
center of this Pokémon’s body glows in seven colors."
122,26,9,"Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real."
123,26,9,"Scyther is blindingly fast. Its blazing speed enhances the
effectiveness of the twin scythes on its forearms. This
Pokémon’s scythes are so effective, they can slice through
thick logs in one wicked stroke."
124,26,9,"Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing."
125,26,9,"When a storm arrives, gangs of this Pokémon compete with
each other to scale heights that are likely to be stricken by
lightning bolts. Some towns use Electabuzz in place of
lightning rods."
126,26,9,"In battle, Magmar blows out intensely hot flames from
all over its body to intimidate its opponent. This Pokémon’s
fiery bursts create heat waves that ignite grass and trees in
its surroundings."
127,26,9,"Pinsir has a pair of massive horns. Protruding from the surface
of these horns are thorns. These thorns are driven deeply into
the foe’s body when the pincer closes, making it tough for the
foe to escape."
128,26,9,"This Pokémon is not satisfied unless it is rampaging at all
times. If there is no opponent for Tauros to battle, it will
charge at thick trees and knock them down to calm itself."
129,26,9,"Magikarp is virtually useless in battle as it can only splash
around. As a result, it is considered to be weak. However,
it is actually a very hardy Pokémon that can survive in any
body of water no matter how polluted it is."
130,26,9,"Once Gyarados goes on a rampage, its ferociously violent
blood doesn’t calm until it has burned everything down.
There are records of this Pokémon’s rampages lasting a
whole month."
131,26,9,"People have driven Lapras almost to the point of extinction.
In the evenings, this Pokémon is said to sing plaintively as
it seeks what few others of its kind still remain."
132,26,9,"Ditto rearranges its cell structure to transform itself into other
shapes. However, if it tries to transform itself into something
by relying on its memory, this Pokémon manages to get
details wrong."
133,26,9,"Eevee has an unstable genetic makeup that suddenly mutates
due to the environment in which it lives. Radiation from various
stones causes this Pokémon to evolve."
134,26,9,"Vaporeon underwent a spontaneous mutation and grew fins
and gills that allow it to live underwater. This Pokémon has
the ability to freely control water."
135,26,9,"Jolteon’s cells generate a low level of electricity. This power
is amplified by the static electricity of its fur, enabling the
Pokémon to drop thunderbolts. The bristling fur is made of
electrically charged needles."
136,26,9,"Flareon’s fluffy fur has a functional purpose—it releases heat
into the air so that its body does not get excessively hot.
This Pokémon’s body temperature can rise to a maximum of
1,650 degrees Fahrenheit."
137,26,9,"Porygon is capable of reverting itself entirely back to program
data and entering cyberspace. This Pokémon is copy protected
so it cannot be duplicated by copying."
138,26,9,"Omanyte is one of the ancient and long-since-extinct Pokémon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell."
139,26,9,"Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous."
140,26,9,"Kabuto is a Pokémon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokémon has not changed at all for
300 million years."
141,26,9,"Kabutops swam underwater to hunt for its prey in ancient
times. The Pokémon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs."
142,26,9,"Aerodactyl is a Pokémon from the age of dinosaurs. It was
regenerated from genetic material extracted from amber. It is
imagined to have been the king of the skies in ancient times."
143,26,9,"Snorlax’s typical day consists of nothing more than eating and
sleeping. It is such a docile Pokémon that there are children
who use its expansive belly as a place to play."
144,26,9,"Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall."
145,26,9,"Zapdos is a legendary bird Pokémon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts."
146,26,9,"Moltres is a legendary bird Pokémon that has the ability
to control fire. If this Pokémon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
147,26,9,"Dratini continually molts and sloughs off its old skin. It does so
because the life energy within its body steadily builds to reach
uncontrollable levels."
148,26,9,"Dragonair stores an enormous amount of energy inside
its body. It is said to alter weather conditions in its vicinity
by discharging energy from the crystals on its neck and tail."
149,26,9,"Dragonite is capable of circling the globe in just 16 hours.
It is a kindhearted Pokémon that leads lost and foundering
ships in a storm to the safety of land."
150,26,9,"Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokémon’s body, they failed to
endow Mewtwo with a compassionate heart."
151,26,9,"Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
152,26,9,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around."
153,26,9,"Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
154,26,9,"The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit."
155,26,9,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
156,26,9,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
157,26,9,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders."
158,26,9,"Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
159,26,9,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
160,26,9,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
161,26,9,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear."
162,26,9,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet."
163,26,9,"Hoothoot has an internal organ that senses and tracks the
earth’s rotation. Using this special organ, this Pokémon
begins hooting at precisely the same time every day."
164,26,9,"Noctowl never fails at catching prey in darkness. This Pokémon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight."
165,26,9,"Ledyba secretes an aromatic fluid from where its legs join its
body. This fluid is used for communicating with others.
This Pokémon conveys its feelings to others by altering the
fluid’s scent."
166,26,9,"It is said that in lands with clean air, where the stars fill the
sky, there live Ledian in countless numbers. There is a good
reason for this—the Pokémon uses the light of the stars as
its energy."
167,26,9,"The web spun by Spinarak can be considered its second
nervous system. It is said that this Pokémon can determine
what kind of prey is touching its web just by the tiny vibrations
it feels through the web’s strands."
168,26,9,"Ariados’s feet are tipped with tiny hooked claws that enable it
to scuttle on ceilings and vertical walls. This Pokémon
constricts the foe with thin and strong silk webbing."
169,26,9,"Crobat sneaks up on its intended prey using wings that barely
make a sound. This Pokémon rests by hanging on a tree
branch with its rear legs that serve as wings."
170,26,9,"Chinchou’s two antennas are filled with cells that generate
strong electricity. This Pokémon’s cells create so much
electrical power, it even makes itself tingle slightly."
171,26,9,"Lanturn is known to emit light. If you peer down into the dark
sea from a ship at night, you can sometimes see this
Pokémon’s light rising from the depths where it swims. It gives
the sea an appearance of a starlit night."
172,26,9,"When Pichu plays with others, it may short out electricity with
another Pichu, creating a shower of sparks. In that event, this
Pokémon will begin crying, startled by the flash of sparks."
173,26,9,"On nights with many shooting stars, Cleffa can be seen
dancing in a ring. They dance through the night and stop only
at the break of day, when these Pokémon quench their thirst
with the morning dew."
174,26,9,"Igglybuff has a soft and plushy body that feels very much like
a marshmallow. From this body wafts a gently sweet fragrance
that soothes and calms the emotions of its foes."
175,26,9,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others."
176,26,9,"Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
177,26,9,"Natu has a highly developed jumping ability. The Pokémon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree’s new shoots."
178,26,9,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokémon out of
their belief that Xatu is in possession of the power to see into
the future."
179,26,9,"Mareep’s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows."
180,26,9,"Flaaffy’s wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity."
181,26,9,"Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokémon
to send signals back and forth with others far away."
182,26,9,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloom—the more stinky the better. At night, this
Pokémon closes its petals and goes to sleep."
183,26,9,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokémon’s
tail is flexible and configured to stretch."
184,26,9,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokémon. The air balloons
enable the Pokémon in trouble to breathe."
185,26,9,"Sudowoodo camouflages itself as a tree to avoid being
attacked by enemies. However, because its hands remain
green throughout the year, the Pokémon is easily identified
as a fake during the winter."
186,26,9,"The curled hair on Politoed’s head is proof of its status as a
king. It is said that the longer and more curled the hair, the
more respect this Pokémon earns from its peers."
187,26,9,"This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away."
188,26,9,"Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer."
